dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,q4_0,44.79583877547729,44.79583877547729,3.5570403769289376,0.5640975758529404,0.09179642877096485,0.07646321195203293,4.068466339546281,6.692969354141501,0.11476964518065973,0.06099538789921425,0.04794579092677929,Transport,1
loop_seattle/5T/medium,q4_0,71.48210510190918,71.48210510190918,4.852673795875258,0.7713831322303141,0.15272633649985487,0.11101081828613778,5.738526869201162,8.454709048921151,0.1504266490907467,0.08633903946548416,0.06820861263536937,Transport,1
loop_seattle/5T/long,q4_0,82.22451553720903,82.22451553720903,5.13520955165692,0.8134724768796466,0.1598744969936074,0.11686243396673482,6.198930041882762,9.067773460845228,0.16032010225129725,0.09079156244456246,0.07200025390227942,Transport,1
loop_seattle/D/short,q4_0,18.956662796697625,18.956662796697625,2.954475256385449,0.890636385235669,0.054883927383659055,0.054473805353008664,8.468854329567131,4.353924987490899,0.07781045365464878,0.052800418167807735,0.04339454245318572,Transport,1
loop_seattle/H/short,q4_0,58.73843931616968,58.73843931616968,4.0396556194326765,0.8216404775187015,0.11421166815158694,0.09314738022974266,6.521934592206146,7.664100685414414,0.1356623758587874,0.07150601244402953,0.0572593764076598,Transport,1
loop_seattle/H/medium,q4_0,65.15190918472652,65.15190918472652,4.349274380804953,0.8906078482211499,0.12336978813935114,0.09973117448849982,6.538691746219635,8.071673258050435,0.14266592146464213,0.07687293791547359,0.060938876690094596,Transport,1
loop_seattle/H/long,q4_0,62.05058049535604,62.05058049535604,4.207103811919505,0.8786759519673437,0.1350473903240024,0.0977566933843925,6.79448121930675,7.877219083874463,0.14077641867135243,0.07518656029677359,0.05941080269392443,Transport,1
m_dense/D/short,q4_0,9080.372592592592,9080.372592592592,48.27559317129629,0.6881472170504804,0.12384823854982278,0.10083965350215943,6.92748216710145,95.29098904194767,0.16496279741530556,0.08357219267516051,0.06848851356585678,Transport,1
m_dense/H/short,q4_0,48209.955555555556,48209.955555555556,92.06965277777778,0.8165151763000227,0.2915570891042291,0.22003196365736885,9.323380274432022,219.56765598684055,0.3894583329538045,0.16330863179874727,0.13514961308625897,Transport,1
m_dense/H/medium,q4_0,36400.44,36400.44,78.90480902777777,0.687807018465352,0.2590554889739827,0.1925442975115559,8.147007438079479,190.78899339322487,0.33194876492975567,0.1372844074385645,0.11421459564527453,Transport,1
m_dense/H/long,q4_0,35029.03308641975,35029.03308641975,78.94046296296297,0.6848687688495154,0.2541254542516796,0.19114656889106446,8.038743586808666,187.160447441279,0.32400243648917193,0.13665762551464253,0.11377634858503699,Transport,1
sz_taxi/15T/short,q4_0,16.66122313558837,16.66122313558837,2.733647012303018,0.5455338154801287,1227811730563.4001,0.39642297955421896,3.8546286221508987,4.081816156515181,0.38166728911542613,0.2556077012235954,0.20067339250653074,Transport,1
